Year,Month,Cards,CardsPredicted,BorderCrossing
2007,I M, 11372 ,18302.72308, 64727 
2007,II M, 11663 ,15695.58978, 52925 
2007,III M, 14275 ,18867.13805, 67282 
2007,IV M, 16988 ,20445.73274, 74428 
2007,V M, 19087 ,20760.74478, 75854 
2007,VI M, 18675 ,23158.45913, 86708 
2007,VII M, 30200 ,28754.89319, 112042 
2007,VIII M, 25665 ,32697.40361, 129889 
2007,IX M, 27918 ,26094.30064, 99998 
2007,X M, 23389 ,25571.85781, 97633 
2007,XI M, 20902 ,22398.9841, 83270 
2007,XII M, 21821 ,27639.53851, 106993 
2008,I M, 21594 ,21131.20424, 77531 
2008,II M, 11453 ,21596.21149, 79636 
2008,III M, 24532 ,25323.33849, 96508 
2008,IV M, 23899 ,26811.14079, 103243 
2008,V M, 24530 ,27895.78954, 108153 
2008,VI M, 27041 ,31430.28646, 124153 
2008,VII M, 26519 ,39085.12317, 158805 
2008,VIII M, 17481 ,30773.31184, 121179 
2008,IX M, 19563 ,25187.26036, 95892 
2008,X M, 23562 ,26766.07596, 103039 
2008,XI M, 22406 ,27647.04932, 107027 
2008,XII M, 23908 ,29395.52076, 114942 
2009,I M, 20574 ,21370.6664, 78615 
2009,II M, 19140 ,17069.84637, 59146 
2009,III M, 20724 ,26483.53711, 101760 
2009,IV M, 19955 ,26170.51323, 100343 
2009,V M, 21224 ,27510.97118, 106411 
2009,VI M, 24069 ,32220.24652, 127729 
2009,VII M, 24800 ,42992.95133, 176495 
2009,VIII M, 26825 ,46389.82378, 191872 
2009,IX M, 26039 ,34055.09224, 136035 
2009,X M, 26386 ,35716.5267, 143556 
2009,XI M, 23331 ,33095.91813, 131693 
2009,XII M, 27758 ,36343.45809, 146394 
2010,I M, 22820 ,28101.23217, 109083 
2010,II M, 20844 ,27181.37935, 104919 
2010,III M, 25652 ,32704.25169, 129920 
2010,IV M, 26457 ,32054.34607, 126978 
2010,V M, 32396 ,34952.41264, 140097 
2010,VI M, 30284 ,37766.31401, 152835 
2010,VII M, 34600 ,55589.89836, 233519 
2010,VIII M, 38036 ,61403.48308, 259836 
2010,IX M, 35669 ,45549.27623, 188067 
2010,X M, 35385 ,45400.60645, 187394 
2010,XI M, 34473 ,45800.0046, 189202 
2010,XII M, 40262 ,50365.02829, 209867 
2011,I M, 40521 ,39482.75407, 160605 
2011,II M, 39260 ,34283.06729, 137067 
2011,III M, 46914 ,45570.48321, 188163 
2011,IV M, 44024 ,45340.52, 187122 
2011,V M, 45021 ,49104.75923, 204162 
2011,VI M, 51624 ,54351.94081, 227915 
2011,VII M, 53917 ,77689.56128, 333560 
2011,VIII M, 60041 ,82908.9087, 357187 
2011,IX M, 60020 ,64118.86034, 272128 
2011,X M, 56515 ,59740.94409, 252310 
2011,XI M, 53578 ,52542.4993, 219724 
2011,XII M, 58672 ,66392.42549, 282420 
2012,I M, 51627 ,54141.85915, 226964 
2012,II M, 47922 ,44896.71973, 185113 
2012,III M, 55626 ,62572.29703, 265127 
2012,IV M, 58961 ,70548.77296, 301235 
2012,V M, 59113 ,75661.42276, 324379 
2012,VI M, 61661 ,90564.84994, 391844 
2012,VII M, 75883 ,120422.9545, 527006 
2012,VIII M, 81415 ,136751.4467, 600922 
2012,IX M, 78770 ,101338.2175, 440613 
2012,X M, 83494 ,96994.76256, 420951 
2012,XI M, 76855 ,85910.1384, 370773 
2012,XII M, 82968 ,86467.04257, 373294 
2013,I M, 74335 ,65862.91367, 280023 
2013,II M, 71092 ,68433.37656, 291659 
2013,III M, 89234 ,84342.36811, 363676 
2013,IV M, 89244 ,84599.72367, 364841 
2013,V M, 92365 ,93824.09792, 406598 
2013,VI M, 92065 ,112423.9462, 490796 
2013,VII M, 95308 ,139552.9773, 613604 
2013,VIII M, 110279 ,175452.6416, 776115 
2013,IX M, 105613 ,117192.8661, 512384 
2013,X M, 104732 ,110445.7324, 481841 
2013,XI M, 95427 ,96373.35382, 418138 
2013,XII M, 109029 ,90738.04029, 392628 
2014,I M, 105508 ,74695.17967, 320005 
2014,II M, 82381 ,69267.29692, 295434 
